student_id,prolog_score,haskell_score,TotalScore,BinaryScore,avDiffratioAlll,avDiffratioCompleted,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime,nmbrCompleteSubs
e4cf50698ca5d8ce7df62f382013ccdb,10,9.7,19.7,1,1.35,1.35,1.58,1,0,2,1,41,10,0,10,0,8,1,0,0,10,0,0,10,0,0,36,0,0,53,0,33,20,0.12,0.18,0.18,0.21,0.12,1664,270,297.78,2.02E+11,20
17750df998a28d8505d9564c4b8c0848,8.8,8.2,17,1,1.47,1.84,1.47,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,0,46,0,46,11,0.02,0.2,0.07,0.17,0.46,0,69.82,69.82,2.02E+11,11
6335a1cf9a643413d84937ae9ed559f3,8.9,8.9,17.8,1,0.98,1.2,1.01,18,3,0,0,0,2,0,10,0,12,2,0,0,2,0,0,2,0,0,37,0,1,117,0,88,30,0.27,0.24,0.03,0.07,0.25,0,34.53,352.65,2.02E+11,30
67d0e10177da6618dab978ef2ce20efc,10,7.1,17.1,1,0.87,0.93,0.83,96,8,8,0,12,29,0,245,0,69,4,2,0,29,0,0,29,0,0,46,0,5,311,8,35,15,0.49,0.2,0,0.09,0.2,0,11.73,571.83,2.02E+11,15
1e9d36e9a130251bbf5b5662616aba4a,7.9,6.4,14.3,1,0.81,0.95,2.3,199,58,195,60,1240,0,0,15,0,65,5,0,0,0,0,0,0,0,31,90,0,61,336,0,2,2,0,0,0,0.5,0.5,164.93,0,242.68,2.02E+11,2
22b2be13d64b20984023e0ddc6505306,8.5,6.5,15,1,0.48,0.48,0.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,9,2,1,0,0,0,0,0,0,0,2.02E+11,2
248ac370e2d04212e3d4945afe2f8c30,3.8,5,8.8,0,0.97,1.22,1.37,221,57,143,33,931,1,0,119,0,127,33,3,0,1,0,0,1,0,8,101,20,35,370,104,22,9,0.05,0.14,0,0.18,0.64,118.06,17.78,184.25,2.02E+11,9
248ac370e2d04212e3d4945afe2f8c30,3.6,2.9,6.5,0,0.97,1.22,1.37,221,57,143,33,931,1,0,119,0,127,33,3,0,1,0,0,1,0,8,101,20,35,370,104,22,9,0.05,0.14,0,0.18,0.64,118.06,17.78,184.25,2.02E+11,9
5323499e3f6f7dea21659ee986ea24ab,5.8,9.8,15.6,1,1.01,1.29,1.34,363,67,311,65,2111,38,0,167,0,146,8,1,0,38,0,0,38,0,0,178,27,0,925,112,92,34,0.45,0.29,0,0.15,0.09,435.38,62.35,335.88,2.02E+11,34
2614b103fa66d4f6d58b490be8a4d69e,4.1,8,12.1,1,0.86,1.2,0.94,39,5,0,0,0,20,0,176,0,42,0,0,0,20,0,0,20,0,5,38,0,18,283,0,96,21,0.21,0.23,0.09,0.05,0.29,0,34.29,305.58,2.02E+11,21
